id,artist,name,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2ICdvchXmDh5mdLyyL2opB,Orelsan,Basique,2017-10-20,57,0.827,0.625,11,-5.996,0,0.269,0.331,6.23e-06,0.109,0.587,132.068
3SgnYOV9ONL0bIHaAcOYE1,Orelsan,Notes pour trop tard (feat. Ibeyi),2017-10-20,58,0.531,0.622,11,-7.751,0,0.447,0.602,0.0,0.118,0.593,167.758
3LKJLzyN8PlBhHKzuhFs8B,Casseurs Flowters,03h53 - Manger c'est tricher,2013-11-18,40,0.604,0.805,6,-6.917,0,0.823,0.406,0.0,0.658,0.237,83.346
4vyoGkc4PycFLtOJt558zm,Casseurs Flowters,19h26 - La mort du disque,2013-11-18,36,0.81,0.737,1,-5.016,1,0.846,0.479,0.0,0.361,0.682,142.001
7svxfKwNtrPkf6lBMuUAnC,Casseurs Flowters,18h30 - Bloqué,2013-11-18,42,0.923,0.74,9,-6.557,1,0.368,0.0189,0.0,0.0568,0.4,122.996
6prfpNZvYnXROnwwdyD6ql,Casseurs Flowters,Wondercash,2015-12-09,38,0.932,0.636,8,-4.952,1,0.149,0.0241,0.0,0.118,0.0793,110.062
3p8QBS8m959GVpJSEpA2Cn,Casseurs Flowters,01h47 - Change de pote,2013-11-18,43,0.966,0.834,9,-5.044,0,0.217,0.0612,0.0,0.672,0.533,112.976
2RfIE8Snlyks8qs50taAkZ,Casseurs Flowters,01h16 - Les putes et moi,2013-11-18,43,0.76,0.584,11,-5.985,1,0.447,0.34,0.0,0.85,0.751,92.903
4UmJNtvVyPoK4xnU6LIx2P,Casseurs Flowters,22h31 - Fais les backs,2013-11-18,44,0.775,0.801,7,-5.847,1,0.208,0.0125,0.0,0.0604,0.315,104.992
4c1ArlBO56iNxiFTupUtt6,Casseurs Flowters,15h02 - Regarde comme il fait beau (dehors),2013-11-18,48,0.825,0.571,7,-6.382,1,0.347,0.117,0.0,0.201,0.844,93.808
5C3TCUckVV2p90RV1jF8Ok,Casseurs Flowters,À l’heure où je me couche,2015-12-09,51,0.646,0.619,6,-5.65,0,0.342,0.327,0.0,0.108,0.478,180.326
1wJAu0NKytglV2bJ6Ven5o,Casseurs Flowters,06h16 - Des histoires à raconter,2013-11-18,52,0.699,0.696,11,-10.376,0,0.399,0.031,0.0,0.0689,0.0399,95.928
02DurCgOvDdX0uKEjqcl3W,The Who,Who Are You,1978-08-18,0,0.653,0.631,9,-11.334,1,0.0461,0.299,0.00265,0.0627,0.516,156.32
60rIdEPDrzyLiLC0icp3xz,Moby,Flower,2008-06-02,51,0.686,0.61,7,-5.902,1,0.0262,0.19,0.000931,0.071,0.766,80.567
0k1xMUwn9sb7bZiqdT9ygx,Daft Punk,Beyond,2013-05-17,55,0.716,0.648,8,-11.33,0,0.0337,0.367,0.485,0.368,0.789,104.022
7oaEjLP2dTJLJsITbAxTOz,Daft Punk,Touch (feat. Paul Williams),2013-05-17,58,0.29,0.412,6,-12.659,0,0.0458,0.477,0.0839,0.079,0.12,90.539
0oks4FnzhNp5QPTZtoet7c,Daft Punk,Giorgio by Moroder,2013-05-17,63,0.74,0.682,9,-10.42,0,0.0504,0.0692,0.53,0.381,0.41,113.201
3n4ow4XGzwSIPxA3JHLF9p,Daft Punk,Too Long / Steam Machine,2007-11-16,48,0.381,0.721,5,-9.967,0,0.0464,0.000605,0.776,0.112,0.225,125.603
1E8S3CSv20KrKT0C1yAjkO,Daft Punk,Television Rules the Nation / Crescendolls,2007-11-16,50,0.58,0.786,6,-9.979,1,0.0675,6.53e-05,0.207,0.461,0.558,126.004
4IdiGMOzEYXOh2897XOV8i,Daft Punk,Touch It / Technologic,2007-11-16,50,0.52,0.545,11,-12.67,0,0.158,0.00494,0.285,0.464,0.233,121.78
029O4HWI1pVXLfFdfQd1Jb,Daft Punk,Superheroes / Human After All / Rock'n Roll,2007-11-16,43,0.487,0.723,7,-11.148,1,0.143,4.48e-05,0.383,0.819,0.391,138.007
5eS6pTvDNOvh2kyxeZtK3r,Daft Punk,Robot Rock / Oh Yeah,2007-11-16,48,0.479,0.678,2,-12.17,1,0.0758,0.00018,0.661,0.421,0.227,116.033
0u4htORODiTK9vHVA89MQX,The Cardigans,Lovefool,1996-09-17,67,0.64,0.602,9,-7.902,1,0.0299,0.0646,0.0,0.375,0.951,111.87
2jAifF3EKOi3uI628cmKC0,Isaac Delusion,couleur menthe à l'eau,2019-11-08,58,0.579,0.394,9,-9.237,0,0.0317,0.516,0.128,0.221,0.454,144.09
7nZ9CzhiFRPhOQCn7eDSnn,L'Impératrice,Vanille fraise,2015,63,0.767,0.547,7,-11.458,0,0.0474,0.0399,0.485,0.0949,0.66,103.03
1OOtq8tRnDM8kG2gqUPjAj,Michael Jackson,Beat It,1982-11-30,78,0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858
3cbV252akVZInSvJk7jAYX,Irene Cara,Flashdance...What a Feeling - Radio Edit,1983-01-01,71,0.572,0.654,7,-7.027,0,0.0344,0.0058,3.21e-06,0.09,0.399,122.491
2IvetNzSZMH5gwjInoyr18,The Weather Girls,It's Raining Men,1982,51,0.69,0.744,1,-12.721,1,0.0613,0.034,0.598,0.453,0.56,136.918
1xPSDf8z4dH46gkvlLtvDO,Michael Sembello,Maniac,1983-01-01,1,0.617,0.533,3,-11.516,0,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86
2ygvZOXrIeVL4xZmAWJT2C,Billie Eilish,my future,2020-07-30,85,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745
2t0wwvR15fc3K1ey8OiOaN,The Strokes,Selfless,2020-04-10,68,0.537,0.68,4,-4.297,1,0.0333,0.191,0.00175,0.0889,0.0889,121.989
2WKhCnPliGEZ72xvokAFHB,The Doors,Break on Through (To the Other Side) - Mono; 2017 Remaster,2017-03-31,35,0.345,0.582,9,-12.382,1,0.0435,0.336,1.65e-06,0.117,0.9,183.853
6T8pTLAnRiN4LZKhN5ZrKE,Matt Berninger,One More Second,2020-09-10,55,0.622,0.629,8,-9.57,0,0.0472,0.366,0.00415,0.113,0.707,82.976
714hERk9U1W8FMYkoC83CO,Hot Chocolate,You Sexy Thing,1975,71,0.791,0.734,5,-5.464,1,0.0629,0.522,0.00165,0.167,0.962,105.854
6e7TwT8TUE3BHN7aokBKfq,She & Him,Why Do You Let Me Stay Here?,2008-03-18,41,0.508,0.804,7,-6.663,1,0.0488,0.0587,0.00731,0.105,0.448,108.533
2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,2019-03-29,88,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128
04cyRQlRP3Ida9aiuGqyi8,Wolfgang Sawallisch,"Concerto No. 21, K. 547 en ut majeur: Andante con brio",2016-08-17,5,0.16,0.0946,5,-18.801,1,0.0361,0.981,0.957,0.117,0.0634,62.74
06kKzXzzIuE6uteIJ2PFHB,Selçuk Alagöz,Malabadi Köprüsü,2015-05-07,20,0.705,0.53,11,-12.053,0,0.0461,0.261,1.69e-05,0.284,0.64,91.217
63CSozvYUEudPp12679UVF,Madcon,Don't Worry (with Ray Dalton) - Radio Edit,2015-04-10,67,0.811,0.699,7,-5.211,1,0.114,0.0726,1.38e-06,0.148,0.733,122.987
1AH8YEUuQZ7B4PhZq0taRm,Cristobal Tapia De Veer,Utopia Finale,2013-10-07,38,0.462,0.769,1,-8.803,1,0.0856,0.142,0.631,0.178,0.0928,171.927
1pdULd4gPPRveuxJBJz3x5,Baby & Me,Here Comes the Hotstepper (Evian Version - Yuksek Remix) - Radio Edit,2013-09-16,42,0.579,0.872,9,-4.306,1,0.116,0.154,0.0,0.131,0.743,107.993
02grSy81O6RjD2MByWf9ge,Johann Sebastian Bach,"Bach, J.S.: Cello Suite No. 1 in G Major, BWV 1007: I. Prelude",1994-01-01,48,0.161,0.0738,7,-22.821,1,0.0565,0.975,0.914,0.108,0.385,79.522
4sHWJD2vUe5uV7QIQ2rogQ,George Frideric Handel,"Suite in D Minor, HWV 437: III. Saraband",1992-09-01,37,0.0642,0.126,2,-18.812,0,0.0473,0.884,0.874,0.0953,0.0384,59.559
3hmncekIHxkTugSzuAZLQn,Antonio Vivaldi,"Vivaldi: Le quattro stagioni (The Four Seasons), Op. 8: Violin Concerto No. 2 in G Minor, RV 315, ""L'Estate"". III. Tempo impetuoso d'Estate (Presto)",1984,23,0.294,0.401,0,-15.453,0,0.0371,0.795,0.892,0.13,0.409,149.121
75Vra3xR96f7ON1IzLZ3Ov,New Tribute Kings,Connection Originally Performed By Elastica - Tribute Version,2014,44,0.67,0.686,3,-6.479,1,0.0372,0.000243,0.638,0.0415,0.849,121.348
0onslUNmSLDkuYaideYWir,Lizzo,Juice,2019-01-04,1,0.767,0.891,0,-3.01,1,0.0901,0.00615,0.0,0.406,0.824,119.91
6PypGyiu0Y2lCDBN1XZEnP,R.E.M.,Everybody Hurts,1992-10-05,75,0.467,0.324,2,-10.451,1,0.0255,0.615,0.0248,0.118,0.166,94.301
6Qj1WXW41Mn3Fh9V2sHphM,Imagine Dragons,On Top Of The World,2012-09-04,57,0.635,0.926,0,-5.589,1,0.151,0.0893,4.53e-06,0.0928,0.761,100.048
01EdsW3HCJPMYqIW8lOplQ,Elia y Elizabeth,Todo en la Vida,1972-07-10,19,0.729,0.46,8,-14.85,0,0.0318,0.478,0.0,0.052,0.835,100.323
0ZUXj43fteJjwvGoLMntte,Arctic Monkeys,"If You Were There, Beware",2007-04-24,49,0.232,0.8,4,-6.853,0,0.0536,0.00082,0.0244,0.128,0.224,201.1
3tehrxZR8eaANHov4cEctL,The Prodigy,Smack My Bitch Up,1997,64,0.607,0.993,10,-4.511,0,0.148,0.00314,0.593,0.112,0.229,136.208
4xP5cjA72WSiXNXql3glWS,Serge Gainsbourg,Comic Strip,1968-01-01,43,0.794,0.554,5,-11.462,1,0.289,0.236,9.15e-05,0.125,0.682,134.017
7qVLZuvzNjyiy3TVtEBwBE,Disclosure,When A Fire Starts To Burn,2014-01-01,51,0.625,0.756,7,-6.954,1,0.231,0.00933,0.00134,0.324,0.673,123.948
3w6m1sTs8qXiuITB0sziwY,Harry Belafonte,Jump In the Line,2001,39,0.605,0.868,5,-7.476,1,0.25,0.747,0.0,0.377,0.815,116.437
2uFaJJtFpPDc5Pa95XzTvg,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,1959-01-01,82,0.451,0.24,1,-14.014,1,0.0351,0.912,2.45e-06,0.175,0.701,134.009
3KzjVgb0rHw9LTwBKaPShi,David Holmes presents The Free Association,Sugarman,2002,39,0.371,0.943,0,-4.543,1,0.263,0.0198,9.11e-05,0.156,0.538,185.602
0gFvkiT2afIcJwNxXQ7W51,Simon & Garfunkel,Mrs. Robinson - Single Mix,1972-06-14,36,0.602,0.456,6,-13.784,0,0.0489,0.721,2e-05,0.103,0.787,91.995
79M91zIoaIrm073sACpOtr,Queen,Somebody To Love,1976-12-10,39,0.494,0.547,8,-11.709,1,0.0559,0.181,0.0,0.0945,0.397,110.193
6Maz8Nl332osh3AAFnhukQ,Al Green,I Want to Hold Your Hand,1989,46,0.741,0.367,7,-12.546,1,0.0532,0.331,7.91e-05,0.196,0.648,109.634
1lhHzgmDDVLCpcHzHVPq9a,Roza Eskenazi,Patrinia,1930-01-01,0,0.373,0.604,1,-6.192,1,0.0435,0.926,0.286,0.142,0.672,112.263
53ScRBObgTQL4FX1ul38IH,Saycet,Both Together,2020-09-29,27,0.453,0.419,7,-16.648,1,0.044,0.348,0.867,0.117,0.132,107.969
3H4DPWxJk3kbtC4Lj02GfM,Count Basie,Basie Goes Wess,2020-03-31,8,0.524,0.455,10,-11.541,0,0.0607,0.832,5.03e-05,0.082,0.48,125.549
7mGRGpeaHqgQ7xZrYOdCro,Rebirth Brass Band,Take It To The Street,1992-01-01,35,0.597,0.566,5,-14.873,0,0.267,0.134,0.00484,0.184,0.646,114.411
1RKytJX5Lpe8yJm1Jx7XU5,SG Lewis,Yours,2016-08-18,53,0.68,0.241,6,-11.448,0,0.247,0.549,2.54e-05,0.222,0.211,127.908
0bYkU27BwhhKsTxmvqWUDo,Afro-Cuban All Stars,Habana del Este,1997-04-09,42,0.587,0.358,0,-12.799,0,0.0361,0.321,0.283,0.222,0.835,128.612
358jMpTqOfIOYjpcg2Ig2j,Brigitte Bardot,Bonnie And Clyde,1994-01-01,56,0.349,0.575,5,-12.029,1,0.0546,0.0064,0.242,0.122,0.565,97.236
3MYUHaITeEQh3WjMkHr67z,Romare,Hey Now - When I Give You All My Lovin',2013-03-25,57,0.866,0.342,7,-8.42,1,0.0527,0.786,0.231,0.178,0.115,125.427
4Vkk3iD1VrENHJEACNddvt,Art Blakey,Moanin',1999-01-01,57,0.612,0.493,5,-8.589,0,0.0467,0.804,0.266,0.202,0.484,126.358
6xVfTx01TnGrzH1mqXfOmf,Deluxe,Pony,2011-11-28,50,0.744,0.586,10,-9.464,0,0.154,0.0485,0.00878,0.0276,0.797,103.089
1iMOlA78LDd12ZHhuBNDh6,Lord Echo,Thinking of You,2010-12-06,65,0.723,0.754,10,-9.376,1,0.0576,0.0491,0.00112,0.393,0.592,97.201
52d8baQxvV3AkHcAyXCkkO,Lewis OfMan,Flash,2018-01-19,52,0.645,0.739,2,-4.845,0,0.0444,0.186,0.81,0.0384,0.522,103.008
4cdy3F7hCRFN8HvVIdOFTq,Asha Bhosle,Udi Baba,1982-12-03,35,0.726,0.502,1,-11.316,1,0.134,0.0587,0.00105,0.119,0.516,102.447
4QHKR48C18rwlpSYW6rH7p,Nicolas Jaar,Mi Mujer,2010-01-25,60,0.816,0.635,10,-8.354,0,0.0517,0.105,0.846,0.105,0.307,124.005
7vUbnU8XibkKccpuoyWqIm,Todd Terje,Preben Goes to Acapulco,2014-04-07,46,0.713,0.675,7,-9.751,1,0.0366,0.0177,0.856,0.0851,0.845,95.997
0okw4jOL8AbTiUuGYdZzgF,Hubbabubbaklubb,Lille søte svanse,2013-02-05,32,0.871,0.691,9,-7.254,0,0.0483,0.0332,0.246,0.0899,0.867,120.018
6XTbH6NcTd6cToahMWGqeg,Guts,Come Closer,2012-03-23,49,0.739,0.39,4,-6.218,0,0.0927,0.684,0.812,0.143,0.863,98.064
237aae2ny7EG1eP2BJHeCM,Neuromonakh Feofan,Притоптать,2015-06-11,45,0.65,0.723,9,-4.933,0,0.08,0.0436,0.00148,0.11,0.54,174.874
6Z1I9txcZG1fbKyHH2I61A,Отава Ё,Яблочко,2013-01-01,39,0.458,0.515,7,-6.518,0,0.041,0.713,2.39e-06,0.105,0.892,144.586
1cAV4huqT7l50aa4539PG0,Mongol Shuudan,Яблочко,2003-12-31,16,0.39,0.822,4,-4.771,0,0.0662,0.0599,6.21e-06,0.209,0.794,135.166
5O0JIw4YvvTdKlN9l69JFQ,Ricky Desktop,"The Banjo Beat, Pt. 1",2020-08-21,68,0.666,0.856,0,-5.377,1,0.0567,0.88,0.9,0.0961,0.573,120.049
2GuIRSthEpYN5MO6PGD7Vx,Polo & Pan,Dorothy,2014-09-21,59,0.803,0.427,8,-10.819,1,0.0509,0.0245,0.405,0.0953,0.439,118.008
7LqT7LqKsCh6epYR9UdAlP,Her,Five Minutes,2018-03-30,58,0.612,0.561,10,-7.038,0,0.0529,0.415,0.000758,0.104,0.446,100.125
3LCup59DMpM3r6fwQsZMYs,Bandolero,Paris Latino - Original Version 1983,2011,53,0.774,0.683,11,-7.432,0,0.137,0.109,0.00404,0.0853,0.683,114.976
1fH2wejQLc0TJ1cneHSrwr,The Glimmers,Physical,2009-10-05,41,0.909,0.593,8,-9.335,1,0.0504,0.287,0.541,0.133,0.714,123.882
7ycuy5Mvd0ILPwkrpwdY9I,Malik Djoudi,Sous garantie,2017-07-21,45,0.749,0.41,0,-11.05,1,0.0491,0.258,0.756,0.115,0.827,104.959
4K9siHhdhmwywswG13gMP4,Hubbabubbaklubb,Mopedbart,2018-10-12,44,0.836,0.609,2,-9.772,1,0.0898,0.0198,0.852,0.093,0.875,108.008
2eDvflMCe9ssOkUJrxqikB,La Caution,Thé à la menthe,2005-10-17,48,0.648,0.88,8,-3.295,0,0.204,0.00781,0.0,0.0618,0.959,99.029
36LpijZOR2wl2hGmVL1EN0,Ray Barretto,Pastime Paradise,1979,42,0.489,0.825,5,-13.396,0,0.0344,0.373,0.165,0.0932,0.919,108.08
4HNH7bIAIscir2rVqVi2eV,Cut Killer,La Haine,2010-04-19,48,0.882,0.677,8,-10.001,0,0.284,0.261,0.000723,0.541,0.74,100.022
5n9o0Z4Is58SMhpX3WWTLi,Cassius,Don't Let Me Be,2019-06-21,45,0.776,0.74,4,-4.599,0,0.0326,0.0128,1.22e-06,0.0725,0.976,120.0
5WwRKYnVy9dekqXAGPbAvU,Sister Sledge,He's the Greatest Dancer,1979-02-15,63,0.7,0.816,7,-9.711,0,0.044,0.00115,0.00123,0.0901,0.838,113.244
04jqhpf3oV06HtlmthfcZZ,Romare,All Night,2016-11-11,60,0.885,0.485,10,-9.299,1,0.0872,0.0868,0.79,0.0883,0.67,106.394
1jzDzZWeSDBg5fhNc3tczV,Black Sabbath,Paranoid,1970-09-18,77,0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734
6tCssnvTUREcperDOUTqvA,ITZY,WANNABE,2020-03-09,77,0.809,0.911,6,-4.41,0,0.0617,0.00795,0.000179,0.181,0.64,122.035
7gQn565GPnnoKUcKQ2FSxB,Selah Sue,Raggamuffin,2011-03-07,55,0.486,0.604,0,-5.934,0,0.215,0.196,0.0,0.107,0.721,187.704
7BDIwQgW4wQicl0ds3g5Lo,Klaxons,Golden Skans,2007-04-09,39,0.455,0.818,2,-2.755,0,0.0364,0.000429,3.95e-06,0.284,0.716,142.005
5gaUkg5JNk8c4mr2jnpX8H,George Benson,Give Me the Night,1980-07-16,52,0.835,0.765,1,-7.831,1,0.0681,0.475,0.0692,0.12,0.855,110.282
5ZUFYkG5XI8b8RpNnXL12a,Bebel Gilberto,Aganjú - Latin Project Mix,2005-05-31,25,0.762,0.86,10,-5.067,0,0.0454,0.0258,0.0817,0.0928,0.716,99.986
4Xxm7QcK7J6D4T0573LleL,Polo & Pan,Arc-en-ciel,2018-07-13,50,0.777,0.588,7,-7.903,0,0.0354,0.0654,0.000276,0.091,0.451,115.985
4LQtQV5HHTdVBCBJYaEuUr,Frankie Valli & The Four Seasons,Beggin' - 2007 Remaster,2007-06-04,46,0.534,0.5,2,-8.591,0,0.0346,0.278,0.0,0.0523,0.447,128.909
1msXkHv84LKikJGKcfdGBu,St Germain,Sure Thing,2000,61,0.772,0.451,0,-12.242,1,0.0551,0.501,0.7,0.213,0.558,96.086
1CDke7GKa0x4PheMWoIkuH,Lou Rawls,The Letter,1998-01-01,36,0.582,0.68,7,-7.417,1,0.0492,0.335,0.0,0.0458,0.936,76.303
2L5EWkQhihqHCECBoXe7tT,Asha Bhosle,Udi Baba,1982-03-12,23,0.734,0.502,1,-11.316,1,0.138,0.0587,0.00105,0.119,0.516,102.488
3hbx2HUnYoLu5KuxiBJrAB,Dave Pike Set,Mathar,2014-01-31,41,0.66,0.788,7,-6.245,0,0.0554,0.205,0.783,0.144,0.51,115.679
5VgcM58bybW45T2WgTdbeY,Nina Simone,"Ain't Got No - I Got Life (From the musical production ""Hair"") - Remastered",1968,58,0.557,0.632,7,-11.072,1,0.111,0.442,2.24e-05,0.833,0.692,115.097
5QO3UJc1gF1ummP75n2b3R,Altin Gün,Goca Dünya,2018-03-30,53,0.738,0.683,4,-5.099,0,0.0622,0.0485,0.000728,0.0692,0.802,97.484
0DGQ02FnlOXZj0I78qmtsF,Cristobal Tapia De Veer,Evil Prevails,2013-10-07,23,0.432,0.484,9,-11.689,0,0.0511,0.718,0.858,0.0975,0.287,130.92
